Name,Id,Zone,Coord1,Coord2,Line,Type
27 Grudnia - Teatr Polski,GRUD72,A,16.924212,52.40804,0,Tram
27 Grudnia - Teatr Polski,GRUD72,A,16.924212,52.40804,2,Tram
27 Grudnia - Teatr Polski,GRUD72,A,16.924212,52.40804,3,Tram
27 Grudnia - Teatr Polski,GRUD72,A,16.924212,52.40804,5,Tram
27 Grudnia - Teatr Polski,GRUD72,A,16.924212,52.40804,6,Tram
27 Grudnia - Teatr Polski,GRUD72,A,16.924212,52.40804,9,Tram
27 Grudnia - Teatr Polski,GRUD72,A,16.924212,52.40804,10,Tram
27 Grudnia - Teatr Polski,GRUD72,A,16.924212,52.40804,11,Tram
27 Grudnia - Teatr Polski,GRUD72,A,16.924212,52.40804,12,Tram
27 Grudnia - Teatr Polski,GRUD72,A,16.924212,52.40804,13,Tram
27 Grudnia - Teatr Polski,GRUD72,A,16.924212,52.40804,14,Tram
27 Grudnia - Teatr Polski,GRUD72,A,16.924212,52.40804,15,Tram
27 Grudnia - Teatr Polski,GRUD72,A,16.924212,52.40804,16,Tram
27 Grudnia - Teatr Polski,GRUD72,A,16.924212,52.40804,18,Tram
27 Grudnia - Teatr Polski,GRUD72,A,16.924212,52.40804,19,Tram
27 Grudnia - Teatr Polski,GRUD72,A,16.924212,52.40804,20,Tram
27 Grudnia - Teatr Polski,GRUD72,A,16.924212,52.40804,201,Tram
27 Grudnia - Teatr Polski,GRUD72,A,16.924212,52.40804,202,Tram
27 Grudnia - Teatr Polski,GRUD72,A,16.924212,52.40804,100,Bus
AWF,AWF42,A,16.93552,52.399655,6,Tram
AWF,AWF42,A,16.93552,52.399655,9,Tram
AWF,AWF42,A,16.93552,52.399655,18,Tram
AWF,AWF42,A,16.93552,52.399655,19,Tram
AWF,AWF41,A,16.9343,52.39924,6,Tram
AWF,AWF41,A,16.9343,52.39924,9,Tram
AWF,AWF41,A,16.9343,52.39924,18,Tram
AWF,AWF41,A,16.9343,52.39924,19,Tram
AWF,AWF04,A,16.93409471,52.39942958,212,Bus
AWF,AWF04,A,16.93409471,52.39942958,222,Bus
AWF,AWF01,A,16.93481132,52.39824851,176,Bus
AWF,AWF01,A,16.93481132,52.39824851,603,Bus
AWF,AWF02,A,16.93592156,52.3997468,174,Bus
AWF,AWF02,A,16.93592156,52.3997468,176,Bus
AWF,AWF02,A,16.93592156,52.3997468,190,Bus
AWF,AWF02,A,16.93592156,52.3997468,603,Bus
AWF,AWF05,A,16.93652096,52.40083284,211,Bus
AWF,AWF05,A,16.93652096,52.40083284,220,Bus
AWF,AWF05,A,16.93652096,52.40083284,221,Bus
AWF,AWF03,A,16.93678524,52.39879099,174,Bus
AWF,AWF03,A,16.93678524,52.39879099,190,Bus
AWF,AWF03,A,16.93678524,52.39879099,212,Bus
AWF,AWF03,A,16.93678524,52.39879099,222,Bus
Admiralska,ADMI01,A,16.77684861,52.475178,186,Bus
Admiralska,ADMI01,A,16.77684861,52.475178,219,Bus
Admiralska,ADMI01,A,16.77684861,52.475178,835,Bus
Admiralska,ADMI01,A,16.77684861,52.475178,836,Bus
Admiralska,ADMI01,A,16.77684861,52.475178,837,Bus
Admiralska,ADMI02,A,16.77747656,52.47574781,186,Bus
